Institution Name,Region,Institution Type,Country,Fiscal Year,Sub-Type
AGF Investments,Americas,Asset Managers,,,
Allianz Global Investors Singapore Limited,Asia,Asset Managers,,,
Australia and New Zealand Banking Group (ANZ),New Zealand,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),New Zealand,Asset Managers,,,
Australia and New Zealand Banking Group (ANZ),New Zealand,Banks / Corporates,,,
Bank of China Hong Kong (BOCHK),Asia,Banks / Corporates,,,
Bradford Marzec,Americas,Asset Managers,,,
HSBC Blance Sheet,New Zealand,Banks / Corporates,,,
KAPSTREAM CAPITAL PTY LTD,Australia,Asset Managers,,,
MACKENZIE FINANCIAL CORPORATION,Americas,Asset Managers,,,
MANULIFE ASSET MANAGEMENT (EUROPE) LIMITED,Europe,Asset Managers,,,
Mizuho ,Asia,Asset Managers,,,
One Path Auckland,New Zealand,Asset Managers,,,
PHILLIP CAPITAL MANAGEMENT (S) LTD,Asia,Asset Managers,,,
"PIONEER INVESTMENT MANAGEMENT, INC",Americas,Asset Managers,,,
Prudential Asset Management,Asia,Asset Managers,,,
TD Residual,Asia,Banks / Corporates,,,
United Nations,Americas,Central Banks / Official Institutions,,,
WESTPAC BANKING CORPORATION (NZ TREASURY DIVISION),New Zealand,Banks / Corporates,,,
Aberdeen Asset Management ,Australia,Asset Managers,,,
Aberdeen Asset Management ,Americas,Asset Managers,,,
Aberdeen Asset Management ,Australia,Asset Managers,,,
Aberdeen Asset Management ,Australia,Fund Managers,,,
Agricultural Bank of China,Asia,Central Banks / Official Institutions,,,
Alico,Non-Japan Asia,Asset Managers,,,
Alliance Capital Management,Asia,Asset Managers,,,
Allianz,Europe,Asset Managers,,,
Amundi,Europe,Asset Managers,,,
Amundi,Europe,Asset Managers,,,
Asian Development Bank,Asia,Central Banks / Official Institutions,,,
Ausgleichsfonds,Europe,Asset Managers,,,
Australia and New Zealand Banking Group (ANZ),Domestic,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Australia,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Australia,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Domestic,Asset Managers,,,
Australia and New Zealand Banking Group (ANZ),Domestic,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Australia,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Australia,Bank / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Domestic,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Domestic,Fund Managers,,,
Australia and New Zealand Banking Group (ANZ),Domestic,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Non-Japan Asia,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Australia,Banks / Corporates,,,
Australia and New Zealand Banking Group (ANZ),Australia,Banks / Corporates,,,
Australian Ethical,Australia,Asset Managers,,,
Australian Mutual Providen (AMP),Australia,Asset Managers,,,
Australian Mutual Providen (AMP),Domestic,Asset Managers,,,
AVIVA,Europe,Insurance / Pension,,,
BANCA DEL SEMPIONE,Europe,Banks / Corporates,,,
Banca della Svizzera (BSI),Europe,Banks / Corporates,,,
Central Bank of Brazil,Americas,Central Banks / Official Institutions,,,
Central Bank of Brazil,Americas,Central Banks / Official Institutions,,,
Bank for International Settlements (BIS),Europe,Central Banks / Official Institutions,,,
Bank for International Settlements (BIS),Asia,Central Banks / Official Institutions,,,
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,,,
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,,,
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,,,
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,,,
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,,,
Bank of China Hong Kong (BOCHK),Asia,Central Banks / Official Institutions,,,
Bank of China Hong Kong (BOCHK),Asia,Central Banks / Official Institutions,,,
